Nom établissement,Adresse,Numéro de téléphone,Type d'établissement,Priorité,Propriétaire,SIREN
Rolancy,16 GRANDE RUE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,952808061
Leodia,4 RUE D'IVRY 69004 LYON,,Boulangerie,3,Lina,483430914
Leodia,4 RUE DU MAIL 69004 LYON,,Boulangerie,3,Lina,483430914
Enfant Gateau,15 PLACE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,479465585
Masmoudi,83 GRANDE RUE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,522933928
Boulangerie De Champvert,153 AVENUE BARTHELEMY BUYER 69005 LYON,,Boulangerie,3,Lina,443855085
Jules Vitton,7 RUE OCTAVIO MEY 69005 LYON,,Boulangerie,3,Lina,929111235
L'Epiaison,1 AVENUE ADOLPHE MAX 69005 LYON,,Boulangerie,3,Lina,504495078
Jules Caluire,7 RUE OCTAVIO MEY 69005 LYON,,Boulangerie,3,Lina,842617094
Rochambeau,66 AVENUE DU POINT DU JOUR 69005 LYON,,Boulangerie,3,Lina,533521860
Jules Jaures,7 RUE OCTAVIO MEY 69005 LYON,,Boulangerie,3,Lina,901927947
Jules Brotteaux,7 RUE OCTAVIO MEY 69005 LYON,,Boulangerie,3,Lina,538383357
Boulangerie Henri Gay,60 AVENUE DU POINT DU JOUR 69005 LYON,,Boulangerie,3,Lina,390427615
Boulangerie Henri Gay,12 RUE DE LA FAVORITE 69005 LYON,,Boulangerie,3,Lina,390427615
Airmes,71 RUE DES AQUEDUCS 69005 LYON,,Boulangerie,3,Lina,518588017
Jules Zola,7 RUE OCTAVIO MEY 69005 LYON,,Boulangerie,3,Lina,503370405
Jules Beynost,7 RUE OCTAVIO MEY 69005 LYON,,Boulangerie,3,Lina,534707344
Maison Pochat,58 QUAI PIERRE SCIZE 69005 LYON,,Boulangerie,3,Lina,809881519
Boulangerie Saint Paul,8 PLACE SAINT PAUL 69005 LYON,,Boulangerie,3,Lina,830167714
Boulangerie Saint Paul,4 PLACE DU CHANGE 69005 LYON,,Boulangerie,3,Lina,830167714
Marcel Cafe,2 RUE DES AQUEDUCS 69005 LYON,,Boulangerie,3,Lina,850419953
Enfant Gouter,8 RUE DU PALAIS DE JUSTICE 69005 LYON,,Boulangerie,3,Lina,911779494
Crock Bus,25 AVENUE GENERAL EISENHOWER 69005 LYON,,Boulangerie,3,Lina,339400657
La Maison Du Pain & Co,2 RUE SAINT JEAN 69005 LYON,,Boulangerie,3,Lina,810956219
La Panissiere,2 RUE SAINT JEAN 69005 LYON,,Boulangerie,3,Lina,829316611
